ENTIDAD,2017,,,,,,,,,,,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,
,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV
Nacional,16.00,15.85,15.78,15.78,15.68,15.57,15.48,15.56,15.79,15.92,16.02,16.16,16.71,17.35,17.58,17.68,17.89,18.10,18.45,18.97,19.23,19.43,19.40,19.10,18.82,19.24,19.74,19.52,19.44,19.33,19.40,19.28,19.37,19.33,19.32,19.44,19.52,19.40,17.89,15.10,16.25,17.65,18.60,18.60,18.54,18.39,17.72,17.91,18.92,19.75,20.11,20.19,20.22,20.27,20.28,20.30,20.19,20.13,20.06,20.28,20.65,20.85,21.28,21.47,21.66,21.86,21.83,21.93,21.69,21.89,21.79
Aguascalientes,16.19,16.22,16.10,16.12,16.03,15.94,15.86,15.92,16.15,16.28,16.36,16.48,17.16,18.00,18.26,18.34,18.46,18.65,19.02,19.55,19.80,20.00,20.00,19.81,19.64,20.07,20.33,19.85,19.74,19.65,19.71,19.67,19.74,19.78,19.84,19.91,19.97,19.95,18.52,15.35,16.56,18.00,19.19,19.29,19.08,18.68,17.94,18.18,19.26,20.16,20.46,20.52,20.45,20.46,20.55,20.50,20.26,20.19,20.08,20.25,20.62,20.81,21.25,21.48,21.79,21.80,21.70,21.64,21.39,21.56,21.51
Baja California,16.08,16.04,15.85,15.87,15.83,15.81,15.70,15.80,15.98,16.12,16.27,16.38,16.80,17.31,17.53,17.67,17.81,18.07,18.49,19.03,19.36,19.57,19.61,19.40,18.05,18.17,18.56,18.49,18.43,18.34,18.36,18.17,18.20,18.09,18.00,18.00,18.27,18.37,17.27,14.19,15.51,17.15,17.94,17.85,17.72,17.38,16.39,16.58,17.83,18.77,19.08,19.24,19.38,19.43,19.38,19.43,19.42,19.40,19.31,19.37,19.68,19.99,20.48,21.12,21.28,21.30,21.12,21.19,21.08,21.20,21.09
Baja California Sur,16.11,16.09,16.00,16.02,15.93,15.83,15.75,15.82,16.04,16.17,16.33,16.55,16.97,17.37,17.58,17.67,17.85,18.10,18.47,19.05,19.34,19.56,19.63,19.53,19.28,19.57,20.38,20.39,20.40,20.43,20.56,20.59,20.64,20.64,20.64,20.68,20.76,20.70,19.03,15.92,17.29,18.94,19.67,19.51,19.54,19.39,18.74,18.66,19.74,20.60,20.73,20.64,20.60,20.63,20.73,20.79,20.84,20.85,20.76,20.84,21.21,21.40,21.62,21.70,21.76,21.82,22.05,22.42,22.53,22.75,22.65
Campeche,15.66,15.65,15.56,15.59,15.49,15.39,15.32,15.38,15.60,15.72,15.81,15.99,16.67,17.26,17.43,17.53,17.70,17.98,18.39,19.00,19.24,19.44,19.46,19.39,19.18,19.43,19.91,19.75,19.69,19.66,19.62,19.62,19.69,19.54,19.48,19.61,19.73,19.59,18.66,16.02,16.70,18.24,19.35,19.43,19.32,19.21,18.84,18.89,19.81,20.69,21.05,21.08,21.06,21.12,21.29,21.40,21.49,21.62,21.61,21.69,21.91,22.23,22.58,22.60,22.68,22.73,22.80,22.93,23.06,23.22,23.32
Chiapas,15.86,15.87,15.76,15.78,15.69,15.59,15.51,15.58,15.81,15.93,16.01,16.16,16.68,17.17,17.36,17.48,17.65,17.88,18.30,18.87,19.09,19.22,19.20,18.93,18.52,18.91,19.62,19.46,19.27,19.10,19.19,19.21,19.27,19.19,19.18,19.27,19.31,19.15,17.86,15.28,16.17,17.57,18.64,18.61,18.76,18.72,18.29,18.42,19.05,19.74,20.04,20.20,20.28,20.29,20.41,20.55,20.54,20.61,20.55,20.71,20.91,20.96,21.22,21.36,21.47,21.50,21.66,21.71,21.86,21.93,21.90
Chihuahua,16.05,14.02,14.76,14.74,14.66,14.62,14.48,14.49,14.83,14.98,15.11,15.29,15.80,16.39,16.52,16.48,16.88,16.75,17.14,17.68,17.96,18.15,17.95,17.54,16.83,17.30,17.84,17.48,17.20,17.23,17.21,17.02,17.26,17.06,16.98,17.28,17.38,17.16,15.31,12.91,14.24,15.77,16.56,16.35,16.58,16.43,15.77,16.14,17.35,18.17,18.37,18.26,18.38,18.24,18.14,18.22,18.21,18.30,18.15,18.46,18.92,19.22,19.75,20.18,20.23,20.70,20.45,20.57,19.81,20.09,19.71
Ciudad de México,16.32,16.30,16.21,16.20,16.08,15.95,15.86,15.92,16.14,16.26,16.35,16.45,17.07,17.85,18.11,18.21,18.49,18.79,19.01,19.34,19.60,19.86,19.90,19.76,19.64,19.96,20.52,20.49,20.52,20.40,20.47,20.31,20.32,20.27,20.29,20.45,20.61,20.46,18.90,15.57,16.85,18.25,19.26,19.25,19.08,18.93,18.15,18.35,19.53,20.50,20.93,20.88,20.93,20.95,20.83,20.83,20.71,20.57,20.63,21.08,21.41,21.54,22.10,22.19,22.39,22.67,22.67,22.66,22.32,22.50,22.36
Coahuila de Zaragoza,15.77,15.83,15.71,15.62,15.47,15.41,15.36,15.45,15.67,15.84,15.97,16.16,16.68,17.38,17.60,17.68,17.74,18.07,18.43,18.96,19.26,19.48,19.44,19.18,18.90,19.19,19.68,19.37,19.17,19.18,19.30,19.09,19.32,19.35,19.50,19.48,19.53,19.41,17.76,15.16,15.87,16.96,17.92,18.17,18.17,18.15,17.51,17.58,18.30,19.14,19.84,20.02,20.12,20.19,20.22,20.20,20.13,20.14,19.96,20.18,20.46,20.53,21.23,21.57,21.96,22.11,22.06,22.01,21.55,21.74,21.66
Colima,16.06,16.03,15.96,15.99,15.90,15.79,15.71,15.78,16.01,16.13,16.22,16.34,16.83,17.36,17.57,17.66,17.82,18.03,18.39,18.92,19.18,19.36,19.39,19.17,18.99,19.53,19.98,19.78,19.72,19.51,19.59,19.54,19.59,19.56,19.54,19.64,19.72,19.67,17.78,15.00,16.51,17.92,18.65,18.74,18.76,18.47,17.65,17.76,18.88,19.72,19.91,20.00,20.08,20.14,20.21,20.27,20.21,20.12,20.06,20.33,20.70,20.91,21.21,21.38,21.48,21.53,21.71,21.90,21.92,22.06,21.99
